Business Name,Zip Code,License Number,License Type,City
A & M IMPORTS LLC,212245749,235768,22S,BALTIMORE
A TO Z WINEWORKS LLC,971326966,158858,22S,NEWBERG
A W DIRECT LLC,954032000,239546,22S,SANTA ROSA
A. BOMMARITO WINES INC.,631442711,96573,LS,BRENTWOOD
A. HARDY USA LTD.,600183338,95054,LS,DES PLAINES
A.V. BRANDS INC.,21093,169341,LS,LUTHERVILLE
A.V.V. WINERY COMPANY LLC,954489642,147198,22S,HEALDSBURG
A-BLONDES INC.,630051025,227448,LS,CHESTERFIELD
ABITA BREWING COMPANY LLC,704200000,231298,22S,ABITA SPRINGS
ACCOLADE WINES NORTH AMERICA INC.,945592455,208688,22S,NAPA
ACNAM LLC,115902265,215412,22S,WESTBURY
ADAM PUCHTA & SON WINE COMPANY,650414103,57174,DOMW,HERMANN
ADAMBA IMPORTS INTERNATIONAL INC.,112371119,141356,LS,BROOKLYN
ADVANTAGE INTERNATIONAL DISTRIBUTORS INC,331722636,239878,LS,DORAL
AIKO IMPORTERS INC.,294647494,201556,LS,MT. PLEASANT
AKC ENTERPRISES INC.,633013480,168432,DOMW,ST. CHARLES
ALAMBIC INC.,954826969,163289,LS,UKIAH
ALBONEE COUNTRY INN & VINEYARDS LLC,640573005,168129,DOMW,INDEPENDENCE
ALLIED IMPORTERS USA LTD.,111015435,163603,22S,LONG ISLAND CITY
ALLTECH'S BEVERAGE DIVISION LLC,403568700,234634,LS,NICHOLASVILLE
ALPHA & OMEGA WINERY LLC,945730000,238992,22S,RUTHERFORD
"ALPHA BREWING COMPANY, LLC",631031936,213386,22MS,ST. LOUIS
ALPHA MARKETING NETWORK,331695714,203348,22S,MIAMI
ALPHABETA BREWERY LLC,63116,248327,22MS,ST. LOUIS
ALTA WINES LLC,945586187,244700,22S,NAPA
ALTAMAR BRANDS LLC,926251928,215828,LS,CORONA DEL MAR
ALTO VINEYARDS LTD.,629050000,232218,22S,ALTO PASS
AMAVI CELLARS LLC,993627007,185677,22S,WALLA WALLA
AMBYTH ESTATE LLC,934658336,244701,22S,TEMPLETON
AMERICAN BEVERAGE CORPORATION,154141135,229608,LS,VERONA
AMERICAN ESTATES WINES INC.,079011904,152456,22S,SUMMIT
AMERICAN VINTAGE BEVERAGE INC.,606615644,223237,LS,CHICAGO
AMERISTAR CASINO KANSAS CITY LLC,64161,243124,MICB,KANSAS CITY
AMICI CELLARS INC.,945159728,226321,22S,CALISTOGA
AMICUS CELLARS LLC,945586187,180178,22S,NAPA
AMUSE BOUCHE LLC,945741704,178621,22S,ST. HELENA
ANCHOR BREWING COMPANY LLC,941072334,200053,LS,SAN FRANCISCO
ANCHOR DISTILLING COMPANY LLC,941072334,204393,LS,SAN FRANCISCO
ANDERS-LANE ARTISAN WINES LP,950373201,178188,22S,MORGAN HILL
"ANDERSON, MIKE",945741329,225875,22S,ST. HELENA
"ANDERSON'S CONN VALLEY WINERY, INC.",945749646,185613,22S,ST. HELENA
ANHEUSER-BUSCH LLC,631181849,205466,LS,ST. LOUIS
ANHEUSER-BUSCH LLC,631181849,205697,22MS,ST. LOUIS
ANN ARBOR BREWING COMPANY LLC,802392102,235930,LS,DENVER
ANTHONY BOZZANO LLC,934013816,244702,22S,SAN LUIS OBISPO
APOSTROPHE BRANDS LLC,606544916,192766,LS,CHICAGO
APPELLATION TRADING COMPANY LLC,945580000,237708,22S,NAPA
APPELLATIONS LLC,630433530,180069,LS,MARYLAND HEIGHTS
APPLE CREEK VINEYARD & WINERY LLC,637477313,209334,22MS,FRIEDEIM
"ARBIOS WINES LTD., INC.",954095347,124230,22S,SANTA ROSA
ARCADIAN MOON VINEYARDS & WINERY LLC,640379162,217036,22MS,HIGGINSVILLE
ARCANA LLC,945622787,183569,22S,OAKVILLE
"AREL GROUP WINES AND SPIRITS, INC.",303052180,141546,22S,ATLANTA
ARETE WINES LLC,934364970,227196,22S,LOMPOC
ARIETTA INC.,945749662,213303,22S,ST. HELENA
"ARTISAN SPIRITS, LLC",630683206,201152,LMS,NEW HAVEN
"ARTISANAL IMPORTS, INC.",787045363,169418,LS,AUSTIN
ARTISANS CELLAR INC.,633763572,229371,LS,ST. PETERS
ARTY'S INC. PARTNERSHIP,549291669,237354,22S,CLINTONVILLE
ASAHI BEER USA INC.,905031688,118063,5S,TORRANCE
ASCENDANT SPIRITS INC.,934279584,224122,LS,BUELLTON
ASKARI O.H. LLC,787242615,202679,22S,AUSTIN
ASSOCIATED BREWING COMPANY,551171325,188630,LS,ST. PAUL
ASV WINES INC.,950469561,53763,22S,SAN MARTIN
ATHENEE IMPORTERS & DISTRIBUTORS LTD,115512039,210241,22S,HEMPSTEAD
ATLAS DRINKS LLC,980537644,217480,22S,REDMOND
ATLAS IMPORTS LLC,606544486,162672,22S,CHICAGO
AUBREY FARMS LLC,660859059,228051,22S,OVERLAND PARK
"AUGUST BRIGGS JR., INC.",954031917,242733,22S,SANTA ROSA
AUGUST WINE GROUP LLC,981162812,131367,22S,SEATTLE
AUGUSTA BREWING VENTURE LLC,630902191,215835,MICB,WASHINGTON
AUGUSTA WINE COMPANY,633321703,102768,22MS,AUGUSTA
AUGUSTA WINE COMPANY,633321518,111202,DOMW,AUGUSTA
AUSA PACIFIC LLC,945151410,226061,22S,CALISTOGA
AVERY BREWING COMPANY,803013242,169495,22S,BOULDER
B. UNITED INTERNATIONAL INC.,068961325,190912,LS,REDDING
BABCOCK ENTERPRISES INC.,934369613,241935,22S,LOMPOC
"BACARDI U.S.A., INC.",331345809,176184,LS,CORAL GABLES
BACCHUS TECHNOLOGIES LLC,080541012,160505,22S,MT. LAUREL
BACCO WINE & SPIRIT LLC,176021937,197707,22S,LANCASTER
BACK HOME BREWING LLC,657210000,240903,MICB,OZARK
BACKYARD VINE & WINE LLC,644688465,235430,22MS,MARYVILLE
BADGER MOUNTAIN INC.,993387337,111954,22S,KENNEWICK
BALDUCCI'S WINEFEST INC.,631462710,122205,DOMW,MARYLAND HEIGHTS
BALEARIC BEVERAGE DISTRIBUTORS INC.,220791432,214564,22S,LORTON
BALTIMORE BEND VINEYARD LLC,640969153,159464,22MS,WAVERLY
BANFI PRODUCTS CORPORATION,115452109,56478,LS,OLD BROOKVILLE
BANVILLE & JONES WINE MERCHANTS,070474713,152683,22S,NORTH BERGEN
BANVILLE & JONES WINE MERCHANTS INC.,10001,246603,LS,NEW YORK
BARGETTO'S SANTA CRUZ WINERY,950732530,61594,22S,SOQUEL
BARLOW VINEYARDS LLC,945159646,214123,22S,CALISTOGA
"BARRENS WINERY LLC, THE",637757156,220441,22MS,PERRYVILLE
BASE CAMP LLC,631321712,155957,22S,ST. LOUIS
BASTARD BROTHERS BREWING CO LLC,630492684,238121,5MS,HIGH RIDGE
BAUM WINE IMPORTS INC.,601621457,114240,LS,HILLSIDE
BEAR CREEK BED & BREAKFAST LLC,657718126,233856,22MS,WALNUT SHADE
"BEAR REPUBLIC BREWING CO., INC.",954254439,175745,22S,CLOVERDALE
BEAUX FRERES LLC,97132,246549,22S,NEWBERG
"BECKMEYER, HENRY AND CAROLINE HOEL",95684,242178,22S,SOMERSET
BEES KNEES BREWING COMPANY LLC,65084,243059,MICB,VERSAILLES
BELL'S BREWERY INC,490539558,140647,22S,GALESBURG
BELLEVILLE BREWING COMPANY LLC,667391256,220895,22S,GALENA
"BELMONT VINEYARDS, LLC",655358196,176869,DOMW,LEASBURG
BELVOIR WINERY LLC,640687448,249590,DOMW,LIBERTY
BENDISTILLERY INC.,977015282,212696,LS,BEND
"BENNETT, STACI L.",64057,245142,LMS,INDEPENDENCE
BENOVIA WINERY LLC,954013952,206203,22S,SANTA ROSA
BENT RIVER BREWING COMPANY,612018928,242444,5S,ROCK ISLAND
BERGSTROM WINES LLC,971326504,178783,22S,NEWBERG
BEVERAGE BROTHERS INC.,952403169,248031,22S,LODI
BIAS VINEYARDS & WINERY INC.,630141418,144909,22MS,BERGER
BIAS VINEYARDS & WINERY INC.,630141418,144911,DOMW,BERGER
BIG MUDDY BREWING LLC,629663938,207771,22S,MURPHYSBORO
BIG OAK VINEYARDS LLC,647359148,237187,DOMW,CLINTON
"BIG RIP LLC, THE",641164315,213121,MICB,NORTH KANSAS CITY
BIG SKY BREWING COMPANY,598088680,179099,22S,MISSOULA
BILARO SPIRITS LLC,954722808,242728,LS,SEBASTOPOL
BINDING BRAUEREI USA INC.,068513502,175052,22S,NORWALK
BKE LLC,630310000,237542,MICB,FLORISSANT
BLACK PRINCE DISTILLERY INC.,070114203,51070,LS,CLIFTON
BLACK SILO LLC,646830000,239325,22MS,TRENTON
BLACKBIRD VINEYARDS LLC,945620000,206394,22S,OAKVILLE
"BLATTEL, JOAN M.",633855308,192567,22MS,WENTZVILLE
BLISS WORLDWIDE LLC,945586241,226943,22S,NAPA
BLUE AGAVE IMPORTERS LLLP,802022306,240751,LS,DENVER
BLUE AGAVE MARKETING COMPANY,631312542,191786,LS,ST. LOUIS
BLUE BLOOD BREWING COMPANY INC.,685024200,240882,22S,LINCOLN
BLUE ROCK VINEYARD LLC,949201516,199923,22S,TIBURON
BLUEWATER DISTILLING LLC,982011594,239852,LS,EVERETT
BLUMENHOF VINEYARDS COMPANY,633420030,49777,DOMW,DUTZOW
BNA WINE GROUP LLC,945587583,212866,22S,NAPA
"BNP DISTRIBUTING CO., INC.",101285552,214171,22S,NEW YORK
BOAT TOWN BREWING LLC,657228122,232648,MICB,PHILLIPSBURG
BOEDECKER CELLARS LLC,972116156,192213,22S,PORTLAND
BOGLE VINEYARDS INC.,956125009,197205,22S,CLARKSBURG
BOM DIA IMPORTS LLC,980275353,216954,LS,ISSAQUAH
"BOMMARITO ESTATE ALMOND TREE WINERY, LLC",630682024,173796,DOMW,NEW HAVEN
BONACCORSI WINE COMPANY LLC,934279577,224903,22S,BUELLTON
BONE HILL VIEW DISTILLERY LLC,640160262,235732,LMS,BUCKNER
"BONNY DOON WINERY, INC.",950605882,129741,22S,SANTA CRUZ
BORDER BREWING COMPANY LLC,641081410,227961,22MS,KANSAS CITY
BORGATA BREWERY & DISTILLERY LLC,681020000,239173,22S,OMAHA
BOSTON BEER CORPORATION,022102300,190046,22S,BOSTON
BOUCHAINE VINEYARDS INC.,945599716,84441,22S,NAPA
BOULEVARD BREWING COMPANY,641082345,219804,22MS,KANSAS CITY
BOURGET IMPORTS LLC,551212296,232656,22S,EAGAN
"BRANDER VINEYARD INC., THE",934410000,192484,22S,LOS OLIVOS
BRANSON WINE MARKETING LLC,656163817,172679,22MS,BRANSON
BRAZOS WINE IMPORTS LLC,112220000,232443,22S,BROOKLYN
BREUCKELEN DISTILLING COMPANY INC.,112321011,240586,LS,BROOKLYN
BREW HUB LLC,338153205,245379,22S,LAKELAND
BRICK OVEN PIZZA COMPANY OF POPLAR BLUFF,63901,249591,MICB,POPLAR BLUFF
BROADBENT SELECTIONS INC.,954769590,103336,22S,SONOMA
"BROADWAY BREWERY, LLC",652799496,221251,MICB,ROCHEPORT
BROC CELLARS LLC,947101417,249627,22S,BERKELEY
BRONCO WINE COMPANY,953070000,239176,22S,CERES
"BROOKLYN BREWERY CORPORATION, THE",112491913,244539,22S,BROOKLYN
BROWN ESTATE VINEYARDS LLC,945749642,198324,22S,ST. HELENA
BROWN-FORMAN CORPORATION,402101038,13849,LS,LOUISVILLE
"BRUERY LLC, THE",928706806,249152,22S,PLACENTIA
BUB'S DISTILLERY LLC,657382412,246369,LMS,REPUBLIC
BUCK MOUNTAIN WINERY & VINEYARD LLC,636373174,179735,DOMW,DOE RUN
BUEHLER VINEYARDS INC.,945749529,33454,22S,ST HELENA
"BUFFALO CREEK WINERY, LLC.",650782329,186689,DOMW,STOVER
BUR OAK BREWING COMPANY LLC,652017635,221780,22MS,COLUMBIA
BURGESS CELLARS INC.,945749728,249340,22S,ST. HELENA
BUSHWHACKER BEND WINERY LLC,652541005,201664,22MS,GLASGOW
BUZZBALLZ LLC,750066839,205376,LS,CARROLLTON
"C AND C WINE SERVICES, INC.",954013819,203472,22S,SANTA ROSA
C. HAVEN IMPORTS LLC,801249614,242446,LS,LITTLETON
C. MONDAVI & FAMILY,945749502,123618,22S,ST HELENA
CABERNET CORPORATION,94949,248155,22S,NOVATO
CAIN CELLARS INC.,945749772,62904,22S,ST HELENA
CAL VIN ENTERPRISES INC.,954480000,230384,22S,HEALDSBURG
CALEDONIA SPIRITS INC.,05843,247435,LS,HARDWICK
CALERA WINE COMPANY,950239159,155764,22S,HOLLISTER
CALIBRATION BRANDS LLC,945587516,223935,22S,NAPA
"CALIFORNIA BREWING CO., LLC",956185474,230383,22S,DAVIS
CALIFORNIA CIDER COMPANY INC.,954722662,177476,22S,SEBASTOPOL
CALIFORNIA VINEYARDS INC.,940703230,107295,LS,SAN CARLOS
CALIPASO WINERY LLC,93446,244291,22S,PASO ROBLES
CALLUNA VINEYARDS LLC,954037416,188464,22S,SANTA ROSA
CALWD INC.,952402118,247628,22S,LODI
CAMARDA CORPORATION,980704519,174353,22S,VASHON
CAMO BREWING COMPANY INC.,891031200,192485,22S,LAS VEGAS
CAMPARI AMERICA LLC,941116234,215707,LS,SAN FRANCISCO
CANAL STREET BREWING COMPANY LLC,495034037,228852,22S,GRAND RAPIDS
CANARD VINEYARDS LLC,945159647,240884,22S,CALISTOGA
CANTERBURY HILL WINERY & RESTAURANT LLC,650432100,223660,22MS,HOLTS SUMMIT
CAPE CLASSICS INC.,100188004,121275,22S,NEW YORK
CARACCIOLI CELLARS INC.,93924,242443,22S,CARMEL VALLEY
CARAVEL GROUP LLC,945397666,239772,22S,FREMONT
CARDEN CELLARS LLC,971178201,226234,22S,GASTON
CARDETTI HERITAGE LLC,655590000,234393,DOMW,ST. JAMES
CARDETTI HERITAGE LLC,655590000,234394,DOMW,ST. JAMES
CARDWELL HILL CELLARS LLC,973709739,189827,22S,PHILOMATH
CARIBBEAN DISTILLERS LLC,338502130,195413,LS,LAKE ALFRED
CARNEROS WINE COMPANY INC.,945599706,224703,22S,NAPA
CARRIAGE HOUSE IMPORTS LTD.,070811421,211975,LS,SPRINGFIELD
CARROLLTON SPECIALTY PRODUCTS CO,658022948,244190,22MS,SPRINGFIELD
"CASA DE LOCO WINERY, LLC",650208564,175681,22MS,CAMDENTON
CASCADE BREWING COMPANY LLC,972250000,240947,22S,PORTLAND
CASTLE BRANDS (USA) CORP.,101684700,179548,LS,NEW YORK
CASUAL ANIMAL BREWING COMPANY LLC,641081423,248787,22MS,KANSAS CITY
CAVE HOLLOW WEST WINERY LLC,634015386,208006,DOMW,HANNIBAL
CAVE VINEYARD LLC,63670,246862,LMS,STE. GENEVIEVE
"CELLAR ARTS, LLC",631192325,237978,22S,WEBSTER GROVES
CELLARS INTERNATIONAL INC.,920087228,127561,22S,CARLSBAD
CENTER ICE BREWING LLC,63103,244645,MICB,ST. LOUIS
CHAISE VENTURES INC.,954037416,241792,22S,SANTA ROSA
CHAMISAL VINEYARDS LLC,945588341,187325,22S,SAN LUIS OBISPO
CHANDLER HILL VINEYARDS LLC,633412708,177976,22MS,DEFIANCE
CHAPPELLET WINERY INC.,945749628,96254,22S,ST HELENA
CHARBAUT AMERICA INC.,100364032,164173,22S,NEW YORK
CHARBAY DISTILLERS LLC,95482,244844,LS,UKIAH
CHARLES JACQUIN ET CIE. INC.,191251837,46029,LS,PHILADELPHIA
CHARLES REININGER LLC,993627291,211078,22S,WALLA WALLA
CHARLEVILLE VINEYARD LLC,636707914,164916,22MS,STE. GENEVIEVE
CHARLEVILLE VINEYARD LLC,63103,245729,MICB,ST. LOUIS
CHARLOTTES WHITE MULE INC.,650662420,192402,DOMW,OWENSVILLE
CHATEAU DIANA LLC,954488100,235931,LS,HEALDSBURG
"CHATHAM IMPORTS, INC.",100168728,133007,LS,NEW YORK
CHAUMETTE INC.,636709022,171660,22MS,STE. GENEVIEVE
"CHAUMETTE, INC.",636700000,227044,22MS,STE. GENEVIEVE
CHEHALEM INC.,971326958,181117,22S,NEWBERG
CHLOE WINES LLC,981338413,155697,22S,SEATTLE
CHRISTOPHER MICHAEL WINES LLC,971012304,235402,22S,AMITY
CINDER BLOCK BREWERY LLC,641163635,216111,22MS,NORTH KANSAS CITY
CIV USA INC.,33166,244845,22S,MIAMI
CIVIC DUTY BREWING COMPANY LLC,641103331,242927,22MS,KANSAS CITY
"CIVIL LIFE BREWING COMPANY LLC, THE",631162614,200195,MICB,ST. LOUIS
CLASSIC BREWING COMPANY,551171325,234222,22S,SAINT PAUL
CLASSIQUE LLC,631442816,213841,LS,WEBSTER GROVES
CLAVERACH FARM & VINEYARDS LLC,630250000,236131,22MS,EUREKA
CLINE CELLARS INC.,954769216,169747,22S,SONOMA
CLINE SISTERS IMPORTS LLC,954769216,225754,22S,SONOMA
CLOS DU VAL WINE COMPANY LTD.,945589410,32213,22S,NAPA
CLOS LACHANCE WINES LLC,950469482,225280,22S,SAN MARTIN
CMB CINCINNATI LLC,452026438,187324,5S,CINCINNATI
COLONY ESPRESSO AND BEER COMPANY LLC,64116,247952,MICB,NORTH KANSAS CITY
COLORADO SPIRITS IMPORTERS LLC,803041525,248286,LS,BOULDER
COMEBACK BREWING INC.,972092806,186437,22S,PORTLAND
CONFLUENCE KOMBUCHA LLC,631102103,242703,MICB,ST. LOUIS
"CONNER, MATT",65616,246637,LS,BRANSON
CONSTELLATION BRANDS INC.,144241012,76847,LS,CANANDAIGUA
COOP ALE WORKS LLC,731794600,235781,22S,OKLAHOMA CITY
COOPER SPIRITS INTERNATIONAL LLC,191250000,239856,LS,PHILADELPHIA
COOPER'S HAWK KANSAS CITY LLC,641121459,223974,22MS,KANSAS CITY
COOPER'S HAWK TOWN & COUNTRY LLC,630170607,223973,22MS,TOWN & COUNTRY
"COOPER'S OAK WINERY ASSOCIATES, LLC",652572875,245176,LMS,HIGBEE
COPPER & KINGS AMERICAN BRANDY CO.,402061822,247774,LS,LOUISVILLE
COPPER CANE LLC,94573,221080,22S,RUTHERFORD
"COPPER MINE RESTAURANT LLC, THE",65251,244091,DOMW,FULTON
COPPER RUN DISTILLERY LLC,657719174,180167,LMS,WALNUT SHADE
CORDELINA WINE COMPANY LLC,956704471,232446,22S,GOLD RIVER
"CORE BREWING & DISTILLING CO., LLC",727641819,216343,22S,SPRINGDALE
"CORK ALLIANCE, INC.",331221915,183953,22S,DORAL
CORSAIR ARTISAN LLC,372032894,232659,LS,NASHVILLE
COUP DE FOUDRE LLC,945749631,185463,22S,ST. HELENA
COURAGEOUS INC.,956698604,234700,22S,PLYMOUTH
"COX, LARRY D.",652515906,187983,DOMW,FULTON
CRANE BREWING COMPANY LLC,641335210,234412,MICB,RAYTOWN
CREW WINE COMPANY LLC,956980000,206393,22S,ZAMORA
CRIBARI VINEYARDS INC.,937223943,226944,22S,FRESNO
CRIDER BREWING LLC,631101924,220723,MICB,ST. LOUIS
CRISTOM VINEYARDS,973049779,135563,22S,SALEM
"CROCKER & STARR WINE CO., LLC",945741417,211122,22S,ST. HELENA
CROWN IMPORTS LLC,606032308,165096,5S,CHICAGO
CROWN VALLEY WINERY INC.,636402002,163519,22MS,FARMINGTON
CROWN VALLEY WINERY INC.,636709039,175431,LMS,STE. GENEVIEVE
CROWN VALLEY WINERY INC.,656163312,235538,LMS,BRANSON
CULT OF 8,93923,219727,22S,CARMEL
CULTIVATE WINES LLC,945741631,226056,22S,ST. HELENA
CUNAT PREMIUM VINEYARDS LLC,945581347,233304,22S,NAPA
CUSHMAN WINERY CORPORATION,934410899,142405,22S,LOS OLIVOS
CUTWATER SPIRITS LLC,921212310,243494,LS,SAN DIEGO
CUVAISON INC.,945599713,204896,22S,NAPA
D & V INTERNATIONAL INC.,334582713,197865,22S,JUPITER
D. & J.F. CELLARS INC.,971159126,182169,22S,DUNDEE
D. MYERS LLC,803012457,179100,22S,BOULDER
"D'AQUINO ITALIAN IMPORTING CO., INC.",910102901,136434,22S,DUARTE
DALE HOLLOW FRUIT FARMS LLC,650780917,219653,DOMW,STOVER
DANCING COYOTE WINES,952209998,241907,22S,ACAMPO
DAOU VINEYARDS LLC,934468712,186603,22S,PASO ROBLES
DARCIE KENT VINEYARDS LLC,945509151,220283,22S,LIVERMORE
DARIOUSH KHALEDI WINERY LLC,945581117,125856,22S,NAPA
DASHE WINE CELLARS LLC,946074641,178214,22S,OAKLAND
DAVID BOWLER LLC,100116362,248726,22S,NEW YORK
DAVID HILL VINEYARDS LLC,971160000,235932,22S,FOREST GROVE
DAVIS-LEHRMITAGE LLC,954480000,232217,22S,HEALDSBURG
DAVOS BRANDS LLC,100168827,249739,LS,NEW YORK
DAYLIGHT WINE COMPANY LLC,954766519,231616,22S,SONOMA
DE CONINCK VINEYARDS INC.,945582032,225200,22S,NAPA
"DE MAISON SELECTIONS, INC.",275145277,220376,LS,CHAPEL HILL
DE PONTE CELLARS LLC,971147201,207609,22S,DAYTON
DEERFIELD VINEYARDS LLC,63383,248188,DOMW,WARRENTON
DEFIANCE BREWERY LLC,676019310,223162,22S,HAYS
DEGRAZIA IMPORTS LLC,602021314,190592,22S,EVANSTON
DEL BRAVO IMPORTS INC.,782662999,224647,LS,SAN ANTONIO
DEL DOTTO VINEYARDS INC.,945581501,246906,22S,NAPA
DELANEY VINEYARD & WINERY LLC,647723609,213959,DOMW,NEVADA
DELEGAT USA INC.,941050922,181770,22S,SAN FRANCISCO
DELICATO VINEYARDS,953368499,13991,22S,MANTECA
DELILLE CELLARS LLC,980522008,239774,22S,REDMOND
DEMERARA DISTILLERS (USA) INC.,333177578,216209,LS,PLANTATION
DENNER WINERY INC.,934469684,199717,22S,PASO ROBLES
"DENNIS, MICHAEL D. & KATHY L.",658037972,192470,DOMW,SPRINGFIELD
DESCHUTES BREWERY INC.,977023118,194568,22S,BEND
DESPARADA WINES LLC,934460000,238202,22S,PASO ROBLES
DESTIHL BREWERY LLC,617616459,238203,22S,NORMAL
DIAGEO AMERICAS INC.,068511127,174611,LS,NORWALK
DIAGEO BEER COMPANY USA,068511127,138601,22S,NORWALK
DIAMOND CREEK VINEYARDS WINERY LLC,945150000,230517,22S,CALISTOGA
DIAMOND IMPORTERS INC.,606141793,214334,22S,CHICAGO
DIASTOLE BREWING COMPANY LLC,646441029,225227,MICB,HAMILTON
DIERBERG EDUCATIONAL FOUNDATION INC.,65041,248754,LMS,HERMANN
DISARONNO INTERNATIONAL LLC,088731172,227613,LS,SOMERSET
"DISTILLERY NO. 209 LTD. NAPA, CA",941580000,182170,LS,SAN FRANCISCO
DISTILLERY OF DEFIANCE LLC,633413103,235727,LMS,DEFIANCE
DIVOT ENTERPRISES LLC,945620000,188677,22S,OAKVILLE
DK54VINES LLC,658020000,237643,22S,SPRINGFIELD
DL ROLLINGS LLC,633412810,166043,DOMW,DEFIANCE
DMJKDV ENTERPRISES INC.,633763093,235513,MICB,ST. PETERS
DOGFISH HEAD CRAFT BREWERY LLC,199681308,244169,22S,MILTON
DOGMASTER DISTILLERY LLC,652014954,220445,LMS,COLUMBIA
DOMAINE DEMARIA SOTER LLC,971110000,148291,22S,CARLTON
"DOMAINE M.B., LLC",954720000,228394,22S,SEBASTOPOL
DOMAINE SELECT WINE & SPIRITS LLC,100167418,235769,LS,NEW YORK
DOMAINE SERENE VINEYARDS & WINERY INC.,971147227,226063,22S,DAYTON
DON SEBASTIANI & SONS INT'L WINE NEGOCIA,94558,244010,LS,NAPA
DONATI FAMILY VINEYARD INC.,934658798,206200,22S,TEMPLETON
DONELAN FAMILY WINE CELLARS LLC,954037417,191421,22S,SANTA ROSA
DOUBLE DIAMOND DISTILLERY LLC,804240000,199720,LS,BRECKENRIDGE
DOUBLE DOWN SPIRITS LLC,917617762,224311,LS,ONTARIO
DOUBLE SHIFT BREWING COMPANY LLC,64108,248437,LMS,KANSAS CITY
DOYNA LIMITED,07036,160434,LS,LINDEN
DOZORTSEV & SONS ENTERPRISES LTD.,112321138,159332,LS,BROOKLYN
DREYER WINE LLC,940623607,113711,22S,WOODSIDE
DREYFUS ASHBY INC.,100176705,37286,LS,NEW YORK
DRG IMPORTS LLC,232200000,239550,22S,RICHMOND
DRY CREEK VINEYARD INC.,954489713,140962,22S,HEALDSBURG
DRYTOWN CELLARS,956990155,192922,22S,DRYTOWN
DUCKHORN WINE COMPANY,94574,246707,22S,ST. HELENA
"DUDES' BREWING CO., LLC, THE",905011807,227656,LS,TORRANCE
DUGGANS DISTILLERS PRODUCTS CORPORATION,109131173,131366,LS,BLAUVELT
DUMOL WINERY LLC,954927759,247630,22S,WINDSOR
DUNHAM CELLARS LLC,993627400,208524,22S,WALLA WALLA
"DURAN IMPORTS, INC.",633851964,140787,22S,WENTZVILLE
DURSO HILLS WINERY LLC,636559162,158334,DOMW,MARQUAND
DUTTON GOLDFIELD WINERY LLC,954720000,177540,22S,SEBASTOPOL
"DUVEL MOORTGAT USA, LTD.",133261169,139280,22S,COOPERSTOWN
DV SPIRITS LLC,787047250,240302,LS,AUSTIN
E. & J. GALLO WINERY,953542760,13867,LS,MODESTO
EAGLE ESTATES IMPORTS LLC,337612805,236852,LS,CLEARWATER
EAGLE EYE IMPORTS - ILLINOIS LLC,483042374,211361,22S,BLOOMFIELD HILLS
EARTHBOUND BREWING LLC,631183036,227443,MICB,ST. LOUIS
EASE ENTERPRISES LLC,640632719,216113,22MS,LEE'S SUMMIT
EAUX DE VIE INC.,631042941,155864,MICB,ST. LOUIS
EAUX DE VIE INC.,631042941,176000,LMS,ST. LOUIS
EBERLE WINERY LTD.,934467302,50406,22S,PASO ROBLES
ECLIPSE ASSETS LLC,945150000,240010,22S,CALISTOGA
ECOSUR GROUP LLC,281479278,228398,22S,SALISBURY
EDG CLIF WINERY LLC,636640000,202849,DOMW,POTOSI
EDG-CLIF BREWERY LLC,636640000,227421,22MS,POTOSI
"EDRINGTON GROUP USA LLC, THE",100114347,236285,LS,NEW YORK
EIGHT BOTTLES LLC,949495763,223117,LS,NOVATO
EKEKO DISTRIBUTION INC.,770073038,230867,LS,HOUSTON
"EMERY, JEFFREY L.",950605880,235882,22S,SANTA CRUZ
"EMPAC INDUSTRIAL RESOURCES, INC.",630805205,225731,LS,SULLIVAN
EMPSON (USA) INC.,223143004,83731,LS,ALEXANDRIA
EMPYREAN BREWING CO.,685081331,205446,22S,LINCOLN
ENOS VINEYARDS INC.,954720000,208932,22S,SEBASTOPOL
ENOTEC IMPORTS INC.,802064339,238281,22S,DENVER
ENOVATION BRANDS INC.,331802804,242848,LS,AVENTURA
ERIC KENT WINE CELLARS LLC,954030000,231324,22S,SANTA ROSA
ERIK MILLER WINES INC.,954489714,242604,22S,HEALDSBURG
ESCALERA-BOULET LLC,934551534,153060,22S,SANTA MARIA
ESSER WINES LLC,954031088,241788,22S,SANTA ROSA
EU IMPORTS LLC,954769590,217967,22S,SONOMA
EVAKI INC.,934013810,151955,22S,SAN LUIS OBISPO
EVESHAM WOOD VINEYARD & WINERY LLC,973049703,200787,22S,SALEM
EXCELSIOR WINE COMPANY LLC,198011120,212024,22S,WILMINGTON
EXIT 6 PUB AND BREWERY LLC,633048034,201120,MICB,COTTLEVILLE
F & F FINE WINES INTERNATIONAL INC.,069020000,218466,22S,STAMFORD
F & R WINE IMPORTS LLC,631192945,247894,22S,WEBSTER GROVES
F.B. MCDONALD IMPORTS INC.,816112469,231749,22S,ASPEN
F.L. NAVARRO LIMITED,11201,246631,22S,BROOKLYN
"FABLEIST WINE COMPANY, THE",934460000,242199,22S,PASO ROBLES
FASEL SHENSTONE LLC,921266300,225752,22S,SAN DIEGO
FELIX SOLIS AVANTIS USA INC.,945587511,225530,22S,NAPA
FENCE STILE LLC,640245370,180255,22MS,EXCELSIOR SPRINGS
FERMENTED PROJECTS LLC,631430000,238764,MICB,MAPLEWOOD
