    PID TTY      STAT   TIME COMMAND
    266 ?        I<     0:00 [kworker/2:1H-kblockd]
    267 ?        I<     0:00 [kworker/3:1H-kblockd]
    268 ?        I<     0:00 [uas]
    269 ?        S      0:00 [scsi_eh_6]
    270 ?        I<     0:00 [scsi_tmf_6]
    288 ?        I<     0:00 [kworker/0:1H-kblockd]
    290 ?        S      0:01 [jbd2/nvme0n1p5-]
    291 ?        I<     0:00 [ext4-rsv-conver]
    304 ?        S      0:00 [scsi_eh_7]
    305 ?        I<     0:00 [scsi_tmf_7]
    329 ?        I<     0:00 [kworker/4:1H-kblockd]
    334 ?        S<s    0:02 /lib/systemd/systemd-journald
    368 ?        Ss     0:01 /lib/systemd/systemd-udevd
    374 ?        S<     0:00 [loop0]
    414 ?        S<     0:00 [loop1]
    423 ?        S<     0:00 [loop2]
    424 ?        S<     0:00 [loop3]
    425 ?        S<     0:00 [loop4]
    427 ?        I<     0:00 [kworker/1:1H-kblockd]
    430 ?        S<     0:00 [loop5]
    464 ?        S<     0:00 [loop6]
    489 ?        S      0:00 [irq/149-mei_me]
    507 ?        S<     0:00 [loop7]
    592 ?        S<     0:00 [loop8]
    595 ?        I<     0:00 [cryptd]
    614 ?        S      0:00 [nv_queue]
    617 ?        S      0:00 [nv_queue]
    642 ?        S      0:00 [nvidia-modeset/]
    649 ?        S      0:00 [nvidia-modeset/]
    650 ?        S<     0:00 [loop9]
    681 ?        S<     0:00 [loop10]
    726 ?        S      0:00 [UVM global queu]
    727 ?        S      0:00 [UVM deferred re]
    728 ?        S      0:00 [UVM Tools Event]
    731 ?        S<     0:00 [loop11]
    732 ?        S<     0:00 [loop12]
    734 ?        S<     0:00 [loop13]
    740 ?        S<     0:00 [loop14]
    741 ?        S<     0:00 [loop15]
    772 ?        S<     0:00 [loop16]
    781 ?        S<     0:00 [loop17]
    803 ?        Ss     0:03 /lib/systemd/systemd-resolved
    805 ?        Ssl    0:00 /lib/systemd/systemd-timesyncd
    845 ?        Ssl    0:00 /usr/lib/accountsservice/accounts-daemon
    846 ?        Ss     0:02 /usr/sbin/acpid
    849 ?        Ss     0:05 avahi-daemon: running [suristalnx.local]
    850 ?        Ss     0:00 /usr/sbin/cron -f
    853 ?        Ss     0:01 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
    856 ?        Ssl    0:13 /usr/sbin/NetworkManager --no-daemon
    871 ?        Ssl    0:01 /usr/sbin/irqbalance --foreground
    872 ?        Ss     0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
    876 ?        Ssl    0:02 /usr/lib/policykit-1/polkitd --no-debug
    879 ?        Ssl    0:01 /usr/sbin/rsyslogd -n -iNONE
    881 ?        Ssl    0:02 /usr/lib/snapd/snapd
    884 ?        Ss     0:00 /usr/bin/nvidia-persistenced --user nvidia-persistenced --no-persistence-mode --verbose
    892 ?        Ssl    0:00 /usr/libexec/switcheroo-control
    896 ?        Ss     0:01 /lib/systemd/systemd-logind
    897 ?        Ssl    0:00 /usr/sbin/thermald --no-daemon --dbus-enable
    898 ?        Ssl    0:01 /usr/lib/udisks2/udisksd
    900 ?        Ss     0:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
    919 ?        S      0:00 avahi-daemon: chroot helper
    991 ?        Ss     0:00 /usr/sbin/cupsd -l
    997 ?        Ssl    0:00 /usr/sbin/cups-browsed
   1023 ?        Ssl    0:00 /usr/sbin/ModemManager --filter-policy=strict
   1026 ?        Ssl    0:00 /usr/sbin/gdm3
   1066 ?        Ssl    0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
   1067 ?        Sl     0:00 gdm-session-worker [pam/gdm-autologin]
   1089 ?        Ss     0:00 /lib/systemd/systemd --user
   1093 ?        S      0:00 (sd-pam)
   1105 ?        S<sl   2:57 /usr/bin/pulseaudio --daemonize=no --log-target=journal
   1107 ?        SNsl   0:23 /usr/libexec/tracker-miner-fs
   1110 ?        SLl    0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
   1114 tty2     Ssl+   0:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
   1116 tty2     Sl+   22:00 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
   1117 ?        SNsl   0:00 /usr/libexec/rtkit-daemon
   1121 ?        Ss     0:02 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1126 ?        Ssl    0:00 /usr/libexec/gvfsd
   1131 ?        Sl     0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
   1139 ?        Ssl    0:00 /usr/libexec/gvfs-udisks2-volume-monitor
   1148 ?        Ssl    0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
   1162 ?        Ssl    0:00 /usr/libexec/gvfs-afc-volume-monitor
   1167 ?        Ssl    0:00 /usr/libexec/gvfs-mtp-volume-monitor
   1171 ?        Ssl    0:00 /usr/libexec/gvfs-goa-volume-monitor
   1175 ?        Sl     0:00 /usr/libexec/goa-daemon
   1177 ?        S      4:07 [irq/151-nvidia]
   1178 ?        S      0:00 [nvidia]
   1179 ?        S      0:04 [nv_queue]
   1188 ?        Sl     0:00 /usr/libexec/goa-identity-service
   1193 ?        Ssl    0:02 /usr/lib/upower/upowerd
   1320 tty2     Sl+    0:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
   1387 ?        Ss     0:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
   1406 ?        Ssl    0:00 /usr/libexec/at-spi-bus-launcher
   1411 ?        S      0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
   1415 ?        Ssl    0:00 /usr/libexec/gnome-session-ctl --monitor
   1422 ?        Ssl    0:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
   1436 ?        Rsl   23:08 /usr/bin/gnome-shell
   1495 ?        Sl     1:13 ibus-daemon --panel disable --xim
   1499 ?        Sl     0:00 /usr/libexec/ibus-dconf
   1500 ?        Sl     0:11 /usr/libexec/ibus-extension-gtk3
   1502 ?        Sl     0:02 /usr/libexec/ibus-x11 --kill-daemon
   1505 ?        Sl     0:00 /usr/libexec/ibus-portal
   1518 ?        Sl     0:03 /usr/libexec/at-spi2-registryd --use-gnome-session
   1544 ?        Ssl    0:00 /usr/libexec/xdg-permission-store
   1546 ?        Sl     0:00 /usr/libexec/gnome-shell-calendar-server
   1557 ?        Ssl    0:00 /usr/libexec/evolution-source-registry
   1572 ?        Ssl    0:00 /usr/libexec/evolution-calendar-factory
   1579 ?        Sl     0:01 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
   1591 ?        Ssl    0:00 /usr/libexec/gsd-a11y-settings
   1592 ?        Ssl    0:00 /usr/libexec/gsd-color
   1593 ?        Ssl    0:00 /usr/libexec/gsd-datetime
   1594 ?        Ssl    0:00 /usr/libexec/gsd-housekeeping
   1595 ?        Ssl    0:00 /usr/libexec/gsd-keyboard
   1596 ?        Ssl    0:00 /usr/libexec/gsd-media-keys
   1597 ?        Ssl    0:00 /usr/libexec/gsd-power
   1598 ?        Ssl    0:00 /usr/libexec/gsd-print-notifications
   1600 ?        Ssl    0:00 /usr/libexec/gsd-rfkill
   1602 ?        Ssl    0:00 /usr/libexec/gsd-screensaver-proxy
   1603 ?        Ssl    0:00 /usr/libexec/gsd-sharing
   1604 ?        Ssl    0:00 /usr/libexec/gsd-smartcard
   1606 ?        Ssl    0:00 /usr/libexec/gsd-sound
   1608 ?        Ssl    0:00 /usr/libexec/gsd-usb-protection
   1609 ?        Ssl    0:00 /usr/libexec/gsd-wacom
   1611 ?        Ssl    0:00 /usr/libexec/gsd-wwan
   1612 ?        Ssl    0:00 /usr/libexec/gsd-xsettings
   1657 ?        SLl    1:11 /usr/share/skypeforlinux/skypeforlinux --executed-from=/home/suristalnx --pid=1641
   1671 ?        Sl     0:00 /usr/libexec/dconf-service
   1672 ?        Sl     0:01 polychromatic-tray-applet
   1674 ?        Sl     0:00 /usr/libexec/gsd-disk-utility-notify
   1688 ?        Sl     0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
   1702 ?        Ssl    0:00 /usr/libexec/evolution-addressbook-factory
   1723 ?        Sl     0:00 /usr/libexec/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
   1731 ?        Sl     3:46 /usr/share/teams/teams
   1739 ?        Ssl    0:00 /usr/libexec/gvfsd-metadata
   1755 ?        Ssl    0:00 /usr/libexec/colord
   1784 ?        Ssl    0:08 /usr/sbin/expressvpnd --client-version 2.6.3 --client-build 3
   1791 ?        Ssl    0:00 /usr/bin/whoopsie -f
   1806 ?        Ss     0:00 /usr/sbin/kerneloops --test
   1808 ?        Ss     0:01 /usr/sbin/kerneloops
   1865 ?        Sl     0:19 /usr/libexec/ibus-engine-simple
   1870 ?        Sl     0:00 /usr/libexec/gsd-printer
   1891 ?        S      0:00 /usr/share/skypeforlinux/skypeforlinux --type=zygote --electron-shared-settings=eyJjci5jb21wYW55IjoiRWxlY3Ryb24iLCJjci5kdW1wcyI6IiIsImNyLmVuYWJsZWQiOmZhbHNlLCJjci5wcm9kdWN0IjoiRWxlY3Ryb24iLCJjci5zZXNzaW9uIjoiIiwiY3IudXJsIjoiIiwiY3IudmVyc2lvbiI6IiJ9
   1893 ?        S      0:00 /usr/share/teams/teams --type=zygote --no-sandbox
   1902 ?        S      0:00 /usr/share/skypeforlinux/skypeforlinux --type=zygote --electron-shared-settings=eyJjci5jb21wYW55IjoiRWxlY3Ryb24iLCJjci5kdW1wcyI6IiIsImNyLmVuYWJsZWQiOmZhbHNlLCJjci5wcm9kdWN0IjoiRWxlY3Ryb24iLCJjci5zZXNzaW9uIjoiIiwiY3IudXJsIjoiIiwiY3IudmVyc2lvbiI6IiJ9
   1916 ?        S      0:00 bpfilter_umh
   1973 ?        Ssl    0:10 openrazer-daemon
   2008 ?        Sl     4:03 /usr/share/skypeforlinux/skypeforlinux --type=gpu-process --field-trial-handle=4840449527379074610,13763453276056830368,131072 --enable-features=WebComponentsV0Enabled --disable-features=PictureInPicture,SpareRendererForSitePerProcess --electron-shared-settings=eyJjci5jb21wYW55IjoiRWxlY3Ryb24iLCJjci5kdW1wcyI6IiIsImNyLmVuYWJsZWQiOmZhbHNlLCJjci5wcm9kdWN0IjoiRWxlY3Ryb24iLCJjci5zZXNzaW9uIjoiIiwiY3IudXJsIjoiIiwiY3IudmVyc2lvbiI6IiJ9 --gpu-preferences=KAAAAAAAAAAgAAAgAAAAAAAAYAAAAAAAEAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAA --shared-files
   2010 ?        Sl     0:16 /usr/share/skypeforlinux/skypeforlinux --type=utility --field-trial-handle=4840449527379074610,13763453276056830368,131072 --enable-features=WebComponentsV0Enabled --disable-features=PictureInPicture,SpareRendererForSitePerProcess --lang=en-US --service-sandbox-type=network --electron-shared-settings=eyJjci5jb21wYW55IjoiRWxlY3Ryb24iLCJjci5kdW1wcyI6IiIsImNyLmVuYWJsZWQiOmZhbHNlLCJjci5wcm9kdWN0IjoiRWxlY3Ryb24iLCJjci5zZXNzaW9uIjoiIiwiY3IudXJsIjoiIiwiY3IudmVyc2lvbiI6IiJ9 --shared-files=v8_snapshot_data:100
   2039 ?        Sl     6:57 /usr/share/skypeforlinux/skypeforlinux --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --ms-disable-indexeddb-transaction-timeout --field-trial-handle=4840449527379074610,13763453276056830368,131072 --enable-features=WebComponentsV0Enabled --disable-features=PictureInPicture,SpareRendererForSitePerProcess --lang=en-US --app-path=/usr/share/skypeforlinux/resources/app.asar --webview-tag --no-sandbox --no-zygote --native-window-open --preload=/usr/share/skypeforlinux/resources/app.asar/preload.js --background-color=#fff --node-integration-in-subframes --enable-spellcheck --enable-websql --electron-shared-settings=eyJjci5jb21wYW55IjoiRWxlY3Ryb24iLCJjci5kdW1wcyI6IiIsImNyLmVuYWJsZWQiOmZhbHNlLCJjci5wcm9kdWN0IjoiRWxlY3Ryb24iLCJjci5zZXNzaW9uIjoiIiwiY3IudXJsIjoiIiwiY3IudmVyc2lvbiI6IiJ9 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=5 --no-v8-untrusted-code-mitigations --shared-files=v8_snapshot_data:100 --skype-process-type=Main --skype-window-id=__MAIN_ROOT_VIEW_ID__
   2053 ?        S      0:00 /usr/share/skypeforlinux/skypeforlinux --type=broker
   2142 ?        Sl     0:00 /usr/share/teams/teams --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --enable-features=SharedArrayBuffer --disable-features=SpareRendererForSitePerProcess --service-pipe-token=15407778686575196304 --lang=en-US --app-path=/usr/share/teams/resources/app.asar --user-agent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) MicrosoftTeams-Preview/1.3.00.25560 Chrome/69.0.3497.128 Electron/4.2.12 Safari/537.36 --node-integration=false --webview-tag=false --no-sandbox --preload=/usr/share/teams/resources/app.asar/lib/renderer/notifications/preload_notifications.js --disable-remote-module --background-color=#fff --electron-shared-settings=eyJjci5jb21wYW55IjoiTWljcm9zb2Z0IiwiY3IuZHVtcHMiOiIvdG1wL2NvbS5taWNyb3NvZnQudGVhbXMubGludXggQ3Jhc2hlcyIsImNyLmVuYWJsZWQiOnRydWUsImNyLnByb2R1Y3QiOiJjb20ubWljcm9zb2Z0LnRlYW1zLmxpbnV4IiwiY3Iuc2Vzc2lvbiI6ImRlc2t0b3AtNWU3YmVlOWItYmI5Mi00MzBlLThjZTctOWU0YzE4Nzc5YzVhIiwiY3IudXJsIjoiYXBwY2VudGVyOi8vZ2VuZXJpYz9haWQ9NTA0OTNjODk4YzFmNGZlNTlhMTgzZjRiNDliZmU2YmEmaWlkPWJjYzFkZjZkZTNiZTRjMDNkNWNhMDAwOGVmMDFkNzVlNWRkOTc2YTA2NDJmYmQ2MDViNTVjMGViYjAyMzA0NjImdWlkPTIwOGUxZTRhLTY2ZmQtNGJiZS04ZTZjLTE2ZDE2MjYyOWJkMiIsImNyLnZlcnNpb24iOiIxLjMuMDAuMjU1NjAifQ== --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=15407778686575196304 --renderer-client-id=7 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101 --msteams-process-type=notificationsManager
   2189 ?        Sl     0:00 /usr/share/teams type=gpu-process --enable-features=SharedArrayBuffer --disable-features=SpareRendererForSitePerProcess --gpu-preferences=KAAAAAAAAACAAABAAQAAAAAAAAAAAGAAAAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --service-request-channel-token=7685351118781590925
   2191 ?        S      0:00 /usr/share/teams type=gpu-process --enable-features=SharedArrayBuffer --disable-features=SpareRendererForSitePerProcess --gpu-preferences=KAAAAAAAAACAAABAAQAAAAAAAAAAAGAAAAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --service-request-channel-token=7685351118781590925
   2268 ?        Ss     0:00 /sbin/mount.ntfs /dev/sdd2 /media/suristalnx/Seagate Expansion Drive -o rw,nodev,nosuid,windows_names,uid=1000,gid=1000,uhelper=udisks2
   2296 ?        S      0:00 /usr/lib/cups/notifier/dbus dbus://
   2297 ?        S      0:00 /usr/lib/cups/notifier/dbus dbus://
   2433 ?        SLl   12:18 /opt/google/chrome/chrome
   2439 ?        S      0:00 cat
   2440 ?        S      0:00 cat
   2443 ?        S      0:00 /opt/google/chrome/chrome --type=zygote --no-zygote-sandbox --enable-crash-reporter=5e148f8f-bc23-4eb7-98fb-70faac077367,
   2444 ?        S      0:00 /opt/google/chrome/chrome --type=zygote --enable-crash-reporter=5e148f8f-bc23-4eb7-98fb-70faac077367,
   2459 ?        S      0:00 /opt/google/chrome/nacl_helper
   2462 ?        S      0:01 /opt/google/chrome/chrome --type=zygote --enable-crash-reporter=5e148f8f-bc23-4eb7-98fb-70faac077367,
   2486 ?        SLl    2:22 /opt/google/chrome/chrome --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=3876044592930481446,7957010199101682814,131072 --lang=en-US --service-sandbox-type=network --enable-crash-reporter=5e148f8f-bc23-4eb7-98fb-70faac077367, --shared-files
   2556 ?        Sl     0:10 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3876044592930481446,7957010199101682814,131072 --lang=en-US --enable-crash-reporter=5e148f8f-bc23-4eb7-98fb-70faac077367, --extension-process --disable-client-side-phishing-detection --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=4 --no-v8-untrusted-code-mitigations --shared-files
   2929 ?        Sl     0:29 /opt/google/chrome/chrome --type=renderer --field-trial-handle=3876044592930481446,7957010199101682814,131072 --lang=en-US --enable-crash-reporter=5e148f8f-bc23-4eb7-98fb-70faac077367, --disable-client-side-phishing-detection --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=17 --no-v8-untrusted-code-mitigations --shared-files
   3051 ?        Sl     4:43 /usr/share/teams/teams --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --enable-features=SharedArrayBuffer --disable-features=SpareRendererForSitePerProcess --disable-gpu-compositing --service-pipe-token=13243894385608718950 --lang=en-US --app-path=/usr/share/teams/resources/app.asar --user-agent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) MicrosoftTeams-Preview/1.3.00.25560 Chrome/69.0.3497.128 Electron/4.2.12 Safari/537.36 --node-integration=false --webview-tag=true --no-sandbox --preload=/usr/share/teams/resources/app.asar/lib/renderer/preload.js --disable-remote-module --background-color=#fff --electron-shared-settings=eyJjci5jb21wYW55IjoiTWljcm9zb2Z0IiwiY3IuZHVtcHMiOiIvdG1wL2NvbS5taWNyb3NvZnQudGVhbXMubGludXggQ3Jhc2hlcyIsImNyLmVuYWJsZWQiOnRydWUsImNyLnByb2R1Y3QiOiJjb20ubWljcm9zb2Z0LnRlYW1zLmxpbnV4IiwiY3Iuc2Vzc2lvbiI6ImRlc2t0b3AtNWU3YmVlOWItYmI5Mi00MzBlLThjZTctOWU0YzE4Nzc5YzVhIiwiY3IudXJsIjoiYXBwY2VudGVyOi8vZ2VuZXJpYz9haWQ9NTA0OTNjODk4YzFmNGZlNTlhMTgzZjRiNDliZmU2YmEmaWlkPWJjYzFkZjZkZTNiZTRjMDNkNWNhMDAwOGVmMDFkNzVlNWRkOTc2YTA2NDJmYmQ2MDViNTVjMGViYjAyMzA0NjImdWlkPTIwOGUxZTRhLTY2ZmQtNGJiZS04ZTZjLTE2ZDE2MjYyOWJkMiIsImNyLnZlcnNpb24iOiIxLjMuMDAuMjU1NjAifQ== --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=13243894385608718950 --renderer-client-id=30 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101 --msteams-process-type=mainWindow
   3156 ?        Sl     0:02 /usr/share/teams/teams --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --enable-features=SharedArrayBuffer --disable-features=SpareRendererForSitePerProcess --disable-gpu-compositing --service-pipe-token=8530817711784111544 --lang=en-US --app-path=/usr/share/teams/resources/app.asar --user-agent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) MicrosoftTeams-Preview/1.3.00.25560 Chrome/69.0.3497.128 Electron/4.2.12 Safari/537.36 --node-integration=false --webview-tag=true --enable-sandbox --native-window-open --preload=/usr/share/teams/resources/app.asar/lib/renderer/experienceRenderer/preload_webview_sandbox.js --disable-remote-module --background-color=#fff --guest-instance-id=4 --enable-blink-features --disable-blink-features --electron-shared-settings=eyJjci5jb21wYW55IjoiTWljcm9zb2Z0IiwiY3IuZHVtcHMiOiIvdG1wL2NvbS5taWNyb3NvZnQudGVhbXMubGludXggQ3Jhc2hlcyIsImNyLmVuYWJsZWQiOnRydWUsImNyLnByb2R1Y3QiOiJjb20ubWljcm9zb2Z0LnRlYW1zLmxpbnV4IiwiY3Iuc2Vzc2lvbiI6ImRlc2t0b3AtNWU3YmVlOWItYmI5Mi00MzBlLThjZTctOWU0YzE4Nzc5YzVhIiwiY3IudXJsIjoiYXBwY2VudGVyOi8vZ2VuZXJpYz9haWQ9NTA0OTNjODk4YzFmNGZlNTlhMTgzZjRiNDliZmU2YmEmaWlkPWJjYzFkZjZkZTNiZTRjMDNkNWNhMDAwOGVmMDFkNzVlNWRkOTc2YTA2NDJmYmQ2MDViNTVjMGViYjAyMzA0NjImdWlkPTIwOGUxZTRhLTY2ZmQtNGJiZS04ZTZjLTE2ZDE2MjYyOWJkMiIsImNyLnZlcnNpb24iOiIxLjMuMDAuMjU1NjAifQ== --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=8530817711784111544 --renderer-client-id=33 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101 --msteams-process-type=experience-renderer
   3180 ?        Sl     0:52 /usr/share/teams/teams --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --enable-features=SharedArrayBuffer --disable-features=SpareRendererForSitePerProcess --disable-gpu-compositing --service-pipe-token=16057740616998118210 --lang=en-US --app-path=/usr/share/teams/resources/app.asar --user-agent=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) MicrosoftTeams-Preview/1.3.00.25560 Chrome/69.0.3497.128 Electron/4.2.12 Safari/537.36 --node-integration=false --webview-tag=false --no-sandbox --preload=/usr/share/teams/resources/app.asar/lib/pluginhost/preload.js --disable-remote-module --background-color=#fff --electron-shared-settings=eyJjci5jb21wYW55IjoiTWljcm9zb2Z0IiwiY3IuZHVtcHMiOiIvdG1wL2NvbS5taWNyb3NvZnQudGVhbXMubGludXggQ3Jhc2hlcyIsImNyLmVuYWJsZWQiOnRydWUsImNyLnByb2R1Y3QiOiJjb20ubWljcm9zb2Z0LnRlYW1zLmxpbnV4IiwiY3Iuc2Vzc2lvbiI6ImRlc2t0b3AtNWU3YmVlOWItYmI5Mi00MzBlLThjZTctOWU0YzE4Nzc5YzVhIiwiY3IudXJsIjoiYXBwY2VudGVyOi8vZ2VuZXJpYz9haWQ9NTA0OTNjODk4YzFmNGZlNTlhMTgzZjRiNDliZmU2YmEmaWlkPWJjYzFkZjZkZTNiZTRjMDNkNWNhMDAwOGVmMDFkNzVlNWRkOTc2YTA2NDJmYmQ2MDViNTVjMGViYjAyMzA0NjImdWlkPTIwOGUxZTRhLTY2ZmQtNGJiZS04ZTZjLTE2ZDE2MjYyOWJkMiIsImNyLnZlcnNpb24iOiIxLjMuMDAuMjU1NjAifQ== --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=16057740616998118210 --renderer-client-id=35 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101 --msteams-process-type=pluginHost
   3340 ?        I<     0:00 [kworker/u17:1-hci0]
   3346 ?        Ss     0:00 /usr/lib/bluetooth/bluetoothd
